mode=search-third-corruption
first_repair=insert D at 1334
second_repair=replace position 12695 with A
searched_positions=21400-22100
tested_candidates=44163
rank1: valid_utf8_prefix=51002 output_bytes=64665 utf8_complete=False third_position=21728 original=f third_char=C
rank2: valid_utf8_prefix=50999 output_bytes=64750 utf8_complete=False third_position=21733 original=g third_char=v
rank3: valid_utf8_prefix=50999 output_bytes=64750 utf8_complete=False third_position=21733 original=g third_char=P
rank4: valid_utf8_prefix=50999 output_bytes=64750 utf8_complete=False third_position=21733 original=g third_char=/
rank5: valid_utf8_prefix=50999 output_bytes=64733 utf8_complete=False third_position=21716 original=Y third_char=9
rank6: valid_utf8_prefix=50999 output_bytes=64662 utf8_complete=False third_position=21744 original=p third_char=a
rank7: valid_utf8_prefix=50999 output_bytes=64662 utf8_complete=False third_position=21744 original=p third_char=Y
rank8: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21749 original=m third_char=L
rank9: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21749 original=m third_char=K
rank10: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21749 original=m third_char=J
rank11: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21749 original=m third_char=I
rank12: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21744 original=p third_char=S
rank13: valid_utf8_prefix=50998 output_bytes=64661 utf8_complete=False third_position=21744 original=p third_char=Q
rank14: valid_utf8_prefix=50997 output_bytes=64660 utf8_complete=False third_position=21748 original=v third_char=f
rank15: valid_utf8_prefix=50997 output_bytes=64660 utf8_complete=False third_position=21744 original=p third_char=K
rank16: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=W
rank17: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=V
rank18: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=H
rank19: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=G
rank20: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=F
rank21: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21750 original=a third_char=E
rank22: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21748 original=v third_char=P
rank23: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21744 original=p third_char=C
rank24: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=c
rank25: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=Y
rank26: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=U
rank27: valid_utf8_prefix=50996 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=Q
rank28: valid_utf8_prefix=50995 output_bytes=64658 utf8_complete=False third_position=21750 original=a third_char=v
